,FIPS Code,JUL21 SNAP Households
1348,28155,806
1349,28157,952
1350,28159,1527
1351,28161,1136
1352,28163,3101
1353,29925,337716
1354,30201,48237
1355,31000,74306
1356,32001,1567
1357,32003,180173
1358,32005,1080
1359,32007,2052
1360,32009,38
1361,32011,55
1362,32013,751
1363,32015,193
1364,32017,231
1365,32019,2791
1366,32021,399
1367,32023,4973
1368,32027,248
1369,32029,57
1370,32031,22973
1371,32033,499
1372,32510,3351
1373,33000,35875
1374,34001,21773
1375,34003,23117
1376,34005,11820
1377,34007,38744
1378,34009,4219
1379,34011,13623
1380,34013,73165
1381,34015,9466
1382,34017,64618
1383,34019,1878
1384,34021,19334
1385,34023,29843
1386,34025,17923
1387,34027,8608
1388,34029,19486
1389,34031,46800
1390,34033,4214
1391,34035,6048
1392,34037,2234
1393,34039,26438
1394,34041,4350
1395,35001,90569
1396,35003,0
1397,35005,12745
1398,35006,3915
1399,35007,283
1400,35009,8849
1401,35011,0
1402,35013,41586
1403,35015,6335
1404,35017,4713
1405,35019,820
1406,35021,0
1407,35023,0
1408,35025,8316
1409,35027,2260
1410,35028,0
1411,35029,5360
1412,35031,12564
1413,35033,0
1414,35034,0
1415,35035,6850
1416,35037,1422
1417,35039,7705
1418,35041,2
1419,35043,11385
1420,35045,18700
1421,35047,5806
1422,35049,10146
1423,35051,2868
1424,35053,3104
1425,35055,5006
1426,35057,2121
1427,35059,0
1428,35061,517
1429,35063,0
1430,36000,1608545
1431,37001,13568
1432,37003,2267
1433,37005,818
1434,37007,3703
1435,37009,2141
1436,37011,1019
1437,37013,5096
1438,37015,2698
1439,37017,4340
1440,37019,8355
1441,37021,19014
1442,37023,6931
1443,37025,12359
1444,37027,7441
1445,37029,467
1446,37031,4050
1447,37033,2350
1448,37035,12009
1449,37037,2791
1450,37039,2480
1451,37041,1579
1452,37043,862
1453,37045,12288
1454,37047,6529
1455,37049,7272
1456,37051,39445
1457,37053,994
1458,37055,1568
1459,37057,13780
1460,37059,2429
1461,37061,4378
1462,37063,22731
1463,37065,8327
1464,37067,31983
1465,37069,4853
1466,37071,20713
1467,37073,904
1468,37075,763
1469,37077,4211
1470,37079,2172
1471,37081,50905
1472,37083,8614
1473,37085,9817
1474,37087,4778
1475,37089,5876
1476,37091,3434
1477,37093,5131
1478,37095,519
1479,37097,7387
1480,37099,2469
1481,37101,13925
1482,37103,1068
1483,37105,4827
1484,37107,7647
1485,37109,5435
1486,37111,2353
1487,37113,1766
1488,37115,2761
1489,37117,4630
1490,37119,78351
1491,37121,1287
1492,37123,2090
1493,37125,5339
1494,37127,9467
1495,37129,15636
1496,37131,2841
1497,37133,10886
1498,37135,6153
1499,37137,966
1500,37139,4063
1501,37141,3898
1502,37143,1212
1503,37145,3629
1504,37147,18851
1505,37149,1124
1506,37151,11257
1507,37153,7564
1508,37155,22027
1509,37157,8948
1510,37159,11391
1511,37161,6844
1512,37163,6387
1513,37165,5492
1514,37167,4835
1515,37169,3156
1516,37171,6338
1517,37173,1152
1518,37175,1934
1519,37177,405
1520,37179,9640
1521,37181,7225
1522,37183,47259
1523,37185,2444
1524,37187,1694
1525,37189,1458
1526,37191,12516
1527,37193,6126
1528,37195,8873
1529,37197,2338
1530,37199,1654
1531,38001,78
1532,38003,374
1533,38005,635
1534,38009,214
1535,38011,93
1536,38013,29
1537,38015,2336
1538,38017,5236
1539,38019,42
1540,38021,116
1541,38023,40
1542,38025,76
1543,38027,90
1544,38029,91
1545,38031,124
1546,38033,121
1547,38035,2227
1548,38037,80
1549,38039,75
1550,38041,80
1551,38043,63
1552,38045,55
1553,38047,42
1554,38049,187
1555,38051,67
1556,38053,179
1557,38055,401
1558,38057,0
1559,38059,917
1560,38061,148
1561,38063,91
1562,38065,0
1563,38067,163
1564,38069,119
1565,38071,557
1566,38073,139
1567,38075,44
1568,38077,461
1569,38079,1915
1570,38081,128
1571,38083,142
1572,38085,498
1573,38089,946
1574,38091,32
1575,38093,804
1576,38095,65
1577,38097,196
1578,38099,361
1579,38101,2354
1580,38103,222
1581,38105,759
1582,39001,2547
1583,39003,6543
1584,39005,2032
1585,39007,9190
1586,39009,4950
1587,39011,1357
1588,39013,4275
1589,39015,2866
1590,39017,18725
1591,39019,1378
1592,39021,1854
1593,39023,10820
1594,39025,6990
1595,39027,2684
1596,39029,7650
1597,39031,2939
1598,39033,3315
1599,39035,119529
1600,39037,1870
1601,39039,1779
1602,39041,2961
1603,39043,4850
1604,39045,7513
1605,39047,2174
1606,39049,77032
1607,39051,1362
1608,39053,3131
1609,39055,1418
1610,39057,6201
1611,39059,3092
1612,39061,54816
1613,39063,2814
1614,39065,1628
1615,39067,1152
1616,39069,836
1617,39071,3156
1618,39073,0
1619,39075,513
1620,39077,3500
1621,39079,3302
1622,39081,6692
1623,39083,2863
1624,39085,9228
1625,39087,6976
1626,39089,9078
1627,39091,2400
1628,39093,17964
1629,39095,35173
1630,39097,1995
1631,39099,24149
1632,39101,5287
1633,39103,5027
1634,39105,2372
1635,39107,925
