,FIPS,Jan22 SNAP Households
1161,26123,3893.0
1162,26125,51353.0
1163,26127,2073.0
1164,26129,2071.0
1165,26131,380.0
1166,26133,1582.0
1167,26135,792.0
1168,26137,1616.0
1169,26139,8048.0
1170,26141,829.0
1171,26143,2297.0
1172,26145,19078.0
1173,26147,10769.0
1174,26149,3786.0
1175,26151,2736.0
1176,26153,562.0
1177,26155,4056.0
1178,26157,3591.0
1179,26159,5462.0
1180,26161,14496.0
1181,26163,214779.0
1182,26165,2748.0
1183,27001,687.0
1184,27003,9833.0
1185,27005,1069.0
1186,27007,1980.0
1187,27009,1920.0
1188,27011,215.0
1189,27013,2700.0
1190,27015,741.0
1191,27017,1416.0
1192,27019,1364.0
1193,27021,2075.0
1194,27023,503.0
1195,27025,1159.0
1196,27027,3427.0
1197,27029,381.0
1198,27031,141.0
1199,27033,539.0
1200,27035,2358.0
1201,27037,10251.0
1202,27041,1217.0
1203,27043,641.0
1204,27045,597.0
1205,27047,1646.0
1206,27049,1311.0
1207,27051,0.0
1208,27053,60913.0
1209,27055,471.0
1210,27057,991.0
1211,27059,1224.0
1212,27061,2345.0
1213,27063,309.0
1214,27065,835.0
1215,27067,2001.0
1216,27069,148.0
1217,27071,714.0
1218,27073,223.0
1219,27075,331.0
1220,27077,148.0
1221,27079,606.0
1222,27081,162.0
1223,27083,1122.0
1224,27085,897.0
1225,27087,160.0
1226,27089,271.0
1227,27091,954.0
1228,27093,741.0
1229,27095,1176.0
1230,27097,1180.0
1231,27099,2002.0
1232,27101,247.0
1233,27103,923.0
1234,27105,797.0
1235,27107,295.0
1236,27109,6125.0
1237,27111,1872.0
1238,27113,571.0
1239,27115,1478.0
1240,27117,325.0
1241,27119,1712.0
1242,27121,582.0
1243,27123,32981.0
1244,27125,143.0
1245,27127,491.0
1246,27129,556.0
1247,27131,1644.0
1248,27133,303.0
1249,27135,427.0
1250,27137,11104.0
1251,27139,2426.0
1252,27141,2000.0
1253,27143,428.0
1254,27145,6071.0
1255,27147,2664.0
1256,27149,310.0
1257,27151,429.0
1258,27153,882.0
1259,27155,218.0
1260,27157,534.0
1261,27159,786.0
1262,27163,4767.0
1263,27165,310.0
1264,27167,335.0
1265,27169,1685.0
1266,27171,2394.0
1267,27173,308.0
1268,27175,31.0
1269,27177,1189.0
1270,27179,1601.0
1271,28001,2616.0
1272,28003,2123.0
1273,28005,1045.0
1274,28007,1518.0
1275,28009,885.0
1276,28011,4111.0
1277,28013,870.0
1278,28015,613.0
1279,28017,1128.0
1280,28019,492.0
1281,28021,1389.0
1282,28023,1269.0
1283,28025,1810.0
1284,28027,3904.0
1285,28029,3149.0
1286,28031,1611.0
1287,28033,5568.0
1288,28035,4941.0
1289,28037,577.0
1290,28039,1385.0
1291,28041,699.0
1292,28043,1678.0
1293,28045,2731.0
1294,28047,16018.0
1295,28049,20489.0
1296,28051,2611.0
1297,28053,1654.0
1298,28055,127.0
1299,28057,890.0
1300,28059,7814.0
1301,28061,1415.0
1302,28063,1000.0
1303,28065,983.0
1304,28067,3647.0
1305,28069,879.0
1306,28071,1728.0
1307,28073,1931.0
1308,28075,6314.0
1309,28077,1008.0
1310,28079,1338.0
1311,28081,3915.0
1312,28083,4017.0
1313,28085,2367.0
1314,28087,5168.0
1315,28089,3964.0
1316,28091,1642.0
1317,28093,2168.0
1318,28095,1823.0
1319,28097,925.0
1320,28099,2554.0
1321,28101,1120.0
1322,28103,1814.0
1323,28105,2655.0
1324,28107,2679.0
1325,28109,3889.0
1326,28111,836.0
1327,28113,3774.0
1328,28115,1208.0
1329,28117,1283.0
1330,28119,800.0
1331,28121,4354.0
1332,28123,1634.0
1333,28125,694.0
1334,28127,1720.0
1335,28129,619.0
1336,28131,1252.0
1337,28133,3695.0
1338,28135,1035.0
1339,28137,1595.0
1340,28139,977.0
1341,28141,812.0
1342,28143,1482.0
1343,28145,1176.0
1344,28147,982.0
1345,28149,4402.0
1346,28151,6974.0
1347,28153,2215.0
1348,28155,794.0
1349,28157,964.0
1350,28159,1498.0
1351,28161,1069.0
1352,28163,3234.0
1353,29925,314701.0
1354,30201,45089.0
1355,31000,74638.0
1356,32001,1735.0
1357,32003,188551.0
1358,32005,1198.0
1359,32007,2241.0
1360,32009,35.0
1361,32011,63.0
1362,32013,789.0
1363,32015,198.0
1364,32017,254.0
1365,32019,2958.0
1366,32021,440.0
1367,32023,5264.0
1368,32027,261.0
1369,32029,59.0
1370,32031,24394.0
1371,32033,545.0
1372,32510,3548.0
1373,33000,35983.0
1374,34001,23157.0
1375,34003,23899.0
1376,34005,12464.0
1377,34007,40828.0
1378,34009,4415.0
1379,34011,14116.0
1380,34013,79982.0
1381,34015,9933.0
1382,34017,66511.0
1383,34019,2021.0
1384,34021,19943.0
1385,34023,30947.0
1386,34025,18458.0
1387,34027,9066.0
1388,34029,20686.0
1389,34031,47270.0
1390,34033,4175.0
1391,34035,6380.0
1392,34037,2200.0
1393,34039,27923.0
1394,34041,4147.0
